,barcode,brandId,description,itemPrice,deleted,competitiveProduct
0,4011,,ITEM NOT FOUND,26.00,,
1,028400642255,,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,,
2,1234,,,2.56,,
3,046000832517,,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.00,,
4,013562300631,,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,,
5,034100573065,,MILLER LITE 24 PACK 12OZ CAN,29,,
6,075925306254,,,1,,True
7,041000168468,,KNORR ASSORTED PASTA SIDE DISH POUCH IN CARDBORD BX 34.4 OZ,1,,
8,2700719497082,,NEXXUS REPLENISHING HAIR TREATMENT LIQUID RP 33.8 OZ,1,,
9,079400066619,,SUAVE PROFESSIONALS MOISTURIZING SHAMPOO LIQUID PLASTIC BOTTLE RP 12.6 OZ - 0079400066612,1,,True
10,051500720011,,JIF CRMY PNT BTR JAR 40 OZ,2,,
11,087684001127,,CAPRI SUN Roarin' Waters Tropical Fruit Juice Drinks 10 ct,1,,
12,071040063102,,,0.99,,True
13,029000079236,,PLANTERSe Cashew Halves & Pieces - 46 oz.,9.99,,
14,041129002292,,CLASSICO Traditional Basil Pesto 14OZ 12pack,1,,
15,043000946060,,K9 Crystal Chandelier with 4 Lights in Globe Shape,1,,
16,044700009888,,"OSCAR MAYER Cotto Salami, 12 oz",9.99,,
17,021000012961,,,1,,True
18,021000678358,,KRAFT Barbecue Roasted Garlic 18 OZ 002100067835,9.99,,
19,044700033302,,"OSCAR MAYER Carving Board Oven Roasted Turkey Breast, 7.5 oz",9.99,,
20,021000059232,,,10,,True
21,043000004944,,"MAXWELL HOUSE Orange International Cafe Beverage Mix, 9.3 OZ",1,,
22,759283400082,,KRAFT BACK TO NATURE CHEDDAR CHEESE SHELL MACARONI AND CHEESE MIX 6 OZ - 0759283400081,1,,
23,025800000135,,SMART MADE Rosemary Grilled Beef & Vegetables 9 OZ Box,5,,
24,043000043486,,Jell-O Make Your Own Mixchief Gelatin Juice 0.25-oz,9.99,,
25,029000024748,,NATURE TREE Walnuts 8oz,9.99,,
26,044700002810,,OSCAR MAYER XXL Premium Fully-Cooked Beef Franks 16 OZ 004470000281,5,,
27,043000079904,,GEVALIA KAFFE Cold Brew Iced Latte Mocha 11fl OZ,5,,
28,044000000745,,-Cheddar,1.00,,True
29,046704085905,,T.G.I. FRIDAY'S(r) Frozen Loaded Baked Potato Cheese Spread DIP BOX 8 OZ 004670408590,4.55,,
30,021000057832,,,1,,True
31,021000002917,,,10,,True
32,044700019917,,OSCAR MAYER Lower Sodium Bacon 16 oz. Pack,10,,
33,043000035818,,"TASSIMO French Vanilla T-Discs, 80ct",0.99,,
34,070085046583,,,9.99,,True
35,044700073377,,"OSCAR MAYER Jumbo Angus Beef Uncured Franks, 15.0 OZ",1,,
36,021000055920,,,1,,True
37,021000051885,,,0.99,,True
38,022174070214,,CJN INJ & LSN GLD GRLN KIT BOX 1 CT,1,,
39,043000012871,,Crystal Light On-the-Go Raspberry Green Tea Drink Mix 10 ct Box,1,,
40,043000077467,,O THAT'S GOOD Baked Potato Soup 16 OZ,10,,
41,043000008836,,MAXWELL HOUSE International Cinnamon Dulce Cappuccino Cafe-Style Beverage Mix 9.1 oz. Tub,5,,
42,021000068364,,"JUST CRACK AN EGG Scramble Kit, Family Size Ultimate Scramble - 2 12oz trays",9.99,,
43,021000013869,,,9.99,,True
44,044700030479,,OSCAR MAYER Deli Fresh Deli Fresh Brown Sugar Ham 8.00-oz,9.99,,
45,041258081601,,WYLER'S Instant Bouillon Powder - Chicken Flavor 2.00-oz,9.99,,
46,043000075821,,"MAXWELL HOUSE Indulge Max Coffee Drink Mix, Mocha + Salted Caramel - 12 oz",1,,
47,021000667543,,Dressing KRAFT Free Catalina 90 Ounce,9.99,,
48,013120013966,,ORE-IDA Diced Hash Brown Potatoes 5 lb. Bag,1,,
49,021000068760,,FOOD NETWORK KITCHEN INSPIRATIONS Shrimp Scampi Kit 4 OZ,4.55,,
50,070277290107,,,1,,True
51,041129088005,,CLASSICO Tomato & Basil Pasta Sauce 44 oz. Jar,5,,
52,013000993906,,"HEINZ Cleaning Vinegar, 1 GAL",1,,
53,043000065198,,"GEVALIA KAFFE Caramel Iced Coffee with Almond Milk, 33.8 fl oz",1,,
54,021000050765,,,9.99,,True
55,021000032778,,KRAFT HEINZ TACO BELL HOME ORIGINALS JALAPENO TACO SAUCE 8 OZ - 0021000032771,9.99,,
56,043000046814,,"YUBAN Pmild Pacific Coast Blend Roast Premium Ground Coffee, 29 Oz",5,,
57,686924560242,,OSCAR MAYER 98% Fat-Free Turkey Breast Shaved 9 OZ 068692456024,1,,
58,021000051113,,,4.55,,True
59,021000070787,,BENIHANA Yakisoba Chicken 26 oz,1,,
60,043000058145,,KOOL-AID Ghoul-Aid JMR Scary Black Fruit Drink FL Bag % Juice 20Pack 6 FL OZ 004300005814,9.99,,
61,044700074602,,"OSCAR MAYER Black Forest Chopped Ham Lunchmeat, 16 oz",1,,
62,021000007561,,,4.66,,True
63,043000013229,,TASSIMO GEVALIA Cappuccino (BONUS 2-pack with 16 total servings),4.66,,
64,043000000960,,SHAKE 'N BAKE Coating Mix - Barbecue Glaze Seasoned 7.00-oz,5,,
65,013000657600,,"Saint Louis Hamburger Pickle Dills, 10 Can - 6 Case",1,,
66,017696004519,,DELIMEX White Meat Chicken Taquitos 66 ct Box,9.99,,
67,012000809941,5332f5fbe4b03c9a25efd0b9,REGULAR PEPSI SODA COLA CAN 12 CT 144 OZ,1.96,,
68,028400642033,5887a372e4b02187f85cdad9,DORITOS TORTILLA CHIP NACHO CHEESE BAG 7.625 OZ,6.90,,
69,036000391718,5bd2013f965c7d66d92731ec,KLEENEX POP UP RECTANGLE BOX FACIAL TISSUE 2 PLY 8PK 160 CT,4.31,,
70,044700092408,,,9.99,,True
71,043000023440,,"Kool-Aid: Soft Drink Mix Singles Grape Unsweetened, 6.6 Oz (Innerpack of 12)",10,,
72,029000016187,,"PLANTERS Nut Select Cashews Almonds Pecans, 8.25 Ounce",10,,
73,021000001361,,PHILADELPHIA Snack BAR Strawberry CheeseC 1 CT 002100000136,9.99,,
74,029000020344,,P3 Peanuts Beef Jerky Sunflower Kernels Portable Protein Pack - 5.4oz - 3ct,1,,
75,043000009604,,COOL WHIP Original Whipped Topping 16 oz,1,,
76,021000024834,,,9.99,,True
77,071159020195,,"CORN NUTS Ranch - 1.7 oz. bag, 216 per case",9.99,,
78,043000204399,,"Jell-O Instant Pudding & Pie Filling French Vanilla, 3.4 Oz",1,,
79,021908236865,,Goodbelly Probiotic Bar Honey Almond Butter Bar - 1 Count,10.00,,
80,043000060544,,"TASSIMO GEVALIA Bold Majestic Roast Coffee, 12 Count T-Discs",4.55,,
81,021000034574,,,9.99,,True
82,043000057162,,"MIO Liquid Water Enhancer 3-1.62 FL OZ Bottles (Lemonade, Berry Pomegranate, Strawberry Watermelon)",10,,
83,044700096284,,OSCAR MAYER Natural Applewood Smoked Uncured Ham 8 oz,1,,
84,686924155783,,ITEM NOT FOUND,1,,
85,016000156234,,Fiber One Oats & Chocolate Chewy Bar - 2 Count,10.00,,
86,305210154278,,VASELINE COCOA BUTTER SKIN MOISTURIZER LOTION CONDITIONING RP 34.5 OZ,10.00,,
87,001111132666,,DOVE MEN PLUS CARE SOAP 4 CT AQUA IMPACT SP 16 OZ,10.00,,
88,089203700016,,PURE LEAF CHAMOMILE HERBAL TEA .74 OZ,10.00,,
89,079400245328,,DOVE MEN PLUS CARE DEODORANT AQUA IMPACT 48 HOUR PROTECTION PLASTIC WRAPPED PLASTIC CONTAINER SP 3 OZ,10.00,,
90,001111147332,,CARESS FINE FRAGRANCE LOVE FOREVER WASH SOAP PLASTIC BOTTLE RP 3 OZ,10.00,,
91,079400236425,,DOVE MEN PLUS CARE ANTIPERSPIRANT EXTRA FRESH 48 HOUR PROTECTION PLASTIC WRAPPED PLASTIC CONTAINER SP 2.7 OZ,1,,
92,016000493025,,Cocoa Puffs Ice Cream Scoops Rte Cereal - Medium Size,1,,
93,043000066706,,"Jell-O Jigglers Star Wars Strawberry/Berry Blue Mold Kit, 6 pc",0.99,,
94,043000000175,,MAXWELL HOUSE International Cafe Flavor Instant Coffee Caffeine Dutch Chocolate Mint Bag 8.5 OZ 004300000017,1,,
95,043000082294,,MAXWELL HOUSE Ground Decaf Original 58.6oz,9.99,,
96,043000955628,,"Kool-Aid Unsweetened Drink Mix Cherry, 0.13 OZ",9.99,,
97,072785048119,,Germ-X Hand Sanitizer - Original,2.29,,True
98,043000206515,,"Jell-O Pudding & Pie Filling Cook & Serve Chocolate, 3.4 Oz",10,,
99,043000061978,,GEVALIA Espresso Roast Regular Whole Bean Coffee 7 OZ Bag,1,,
100,044700071533,,OSCAR MAYER Fun Pack Pepperoni Kabobble 8 oz,1,,
101,025800026302,,SMART ONES Flavorful Asian Inspirations Orange Sesame Chicken 9 oz. Box,10,,
102,021000007660,,,9.99,,True
103,070085035006,,,9.99,,True
104,686924820858,,OSCAR MAYER 98% Fat-Free Turkey Breast Shaved 9 OZ 068692482085,9.99,,
105,798813118547,,DEGREE CLINICAL PROTECTION MOTION SENSE ANTIPERSPIRANT DEODORANT REGULAR PLASTIC CONTAINER IN BOX 1.7 OZ,1,,
106,077567000637,,BREYERS DELIGHTS FROZEN COOKIES N CREAM ICE CREAM REDUCED FAT 16 OZ - 0077567000631,1,,
107,021000068159,,"KRAFT Trios Snackfulls Monterey Jack Cheeses, Dried Apples, Granola Clusters,2.25 oz",0.99,,
108,021000648863,,"KRAFT Brand Dressing Pourable Blue Cheese Dressing, 128 Ounce",1,,
109,029000023666,,PLANTERS Peanuts Cocoa 4 OZ,1,,
110,043000078488,,,9.99,,True
111,043000071182,,"GEVALIA Cold Brew Iced Coffee Concentrate, House Blend - 32 fl oz",4.55,,
112,043000062760,,JELL-O Jigglers Ohio State University Mold Kit with Strawberry Flavor JELL-O,1,,
113,021000725403,,,1,,True
114,021000024858,,,9.99,,True
115,044700076422,,"OSCAR MAYER Selects Hardwood Smoked Uncured Turkey Sausage, 13 oz",1,,
116,051600001003,,"LEA & PERRINS Garlic & Herb Marinade Bottle, 16 oz",1,,
117,076840100354,,BEN & JERRYS FROZEN CHUNKY MONKEY ICE CREAM REGULAR 16 OZ - 0076840100351,16.60,,
118,311111511867,,BEN AND JERRYS ICE CREAM,5.40,,False
119,041000022623,592486bee410d61fcea3d130,KNORR RICE SIDES CREAMY CHICKEN REGULAR RICE AND PASTA MIX LONG GRAIN 5.7 OZ - 0041000022624,4.86,,
120,076840580750,,Ben & Jerry's Chunky Monkey Non-Dairy Frozen Dessert 16 oz,15.30,,
121,028435383253,,KLRB CRBN WTR CLR FR LMN SPRK CAN 12PK 12 FL OZ,15.60,,
122,070470137735,,"Yoplait Go-Gurt Yogurt - Strawberry Banana & Raspberry, 16 Pack",1,,
123,011111326231,,DOVE MEN PLUS CARE AQUA IMPACT WASH SOAP TOTTLE SP 19.8 OZ,1,,
124,043000000199,,comfort bay.4 piece set 200 thread count full sheet set,9.99,,
125,822142991523,,TIGI BED HEAD B FOR MEN CLEAN UP CLEANSING SHAMPOO LIQUID PLASTIC TUBE RP 8.45 OZ - 0822142991521,10.00,,
126,043000043790,,Jell-O Mixchief Vanilla Pudding Instant 3.40-oz,4.55,,
127,036632011077,,Light & Fit Greek Crunch Key Lime Pie Yogurt,0.54,,True
128,075706191031,,CNS CLSC THN SPR BLCK OLV GRN PPR ONN WHL MLK MZRL PRMS RMN 25.49 OZ,5.99,,
129,019600920106,,Van de Kamp's - Crispy Fish Fillets 19.45-oz,6.99,,
130,028189000079,,HTCH JLPN PPR SLCD JAR SLCT 12 OZ,1.19,,
131,754500326305,,Hy-Vee Clover Honey Bear,5.99,,
132,058496723002,,WSTMP SS CTSNK RPGBG CHKN 6.3OZ,1.99,,
133,058449450023,,NTRS PTH FLX N OATS INST OAT ORGN BOX HOT CRL 14 OZ,3.99,,
134,075450093070,,Hy-Vee Medium Cheddar Cheese Brick,4.99,,
135,048500256763,,DOLE ORANGE PEACH MANGO JUICE VITAMIN C ENRICHED FROM CONCNTRT PSTRZD CARTON 1 CT 59 OZ,1.31,,
136,4816,,Golden Sweet Potato,2.21,,
137,4166,,Other Sweet Onions,0.91,,
138,075450120400,,Hy-Vee Cage Free Omega-3 Grade A Large Brown Eggs,1.99,,
139,754500797204,,Hy-Vee Orange Cream Lowfat Yogurt,0.56,,
140,075450085150,,Hy-Vee Unsalted Sweet Butter Quarters,3.99,,
141,071007023095,,EL MNT MLD BF BN GRN CHL BRT KP FRZN BAG 32 OZ,4.99,,
142,072310001459,,Bigelow Green Tea Bags with Lemon,3.49,,True
143,754502285808,,Hy-Vee Kettle Cooked Pub Mustard Flavored Potato Chips,2.39,,
144,041390024368,,KKMN SWT CHL RFRG AFTR OPNN SC BTL 13 OZ,3.79,,
145,511111204206,5a8c36dbe4b0ccf165fac9e9,SWANSON,5.58,,False
146,043000716021,580dffade4b0f32b2de21384,YUBAN Traditional Medium Roast Ground Coffee 12 oz. Canister,5.99,,
147,044500341720,,Hillshire Farm - Turkey Polska Kielbasa 13.00-oz,3.99,,
148,754500958803,,Hy-Vee Diced Cooked Ham,2.99,,
149,024105590051,,JST BR BNLS HND TRMD MNML PRCS SKNL CHCK WHL BRST FLT RFRG MLDD TRY 14 OZ,6.99,,
150,21251000000,,Laura's Lean Beef Ground Beef 93% Lean & Natural,5.99,,
151,4060,,Broccoli,2.99,,
152,048500052020,585a9653e4b03e62d1ce0e7b,DL PNPL ORNG BNN FRZN CNCN CAN 48 OZ JC BLND 12 FL OZ,1.53,,
153,4069,,Green Cabbage,2.05,,
154,4093,,Large Yellow Onions,1.82,,
155,754500973400,,Hy-Vee 4% Large Curd Cottage Cheese,1.47,,
156,075450079760,,Hy-Vee Lowfat Blackberry Yogurt,0.56,,
157,754500947807,,Hy-Vee Lemon Flavored Lowfat Yogurt,0.56,,
158,039400015031,,Bush's Best Chili Beans - Kidney Beans in Mild Chili Sauce,1.59,,True
159,025500204215,,Folgers Classic Roast Medium Caffeinated Coffee,14.98,,True
160,754501311409,,Hy-Vee Kettle Cooked Buffalo & Blue Cheese Potato Chips,1.67,,
161,754500355602,,Hy-Vee Seasoned Croutons,1.79,,
162,018627030010,,Kashi Granola Bars - Chewy Honey Almond Flax,3.77,,True
163,041000004087,,"Lipton Recipe Secrets Beefy Onion Recipe Soup & Dip Mix, 2 count, 2.2 oz",1.99,,
164,021000604647,55a41b88e4b0d0a65b3692f0,KRAFT Cheese - Pasteurized Prepared American Singles,3.29,,True
165,071146002487,,CLB SNP CRSP BLCK PPR BKD 40 PCT LS FAT HRVS SNPS BAG 3.3 OZ,1.25,,
166,754501734109,,That's Smart! Chili Powder,3.79,,
167,071430010051,,DL CRT ICBR PEA PD RDSH RD CBG RMN LTC VRY VG THRG WSHD LTC SLD BAG 11.9 OZ,3.49,,
168,754500638101,,Hy-Vee Premium Distilled Water Gallon,0.99,,
169,511111001485,585a972de4b03e62d1ce0e96,TOSTITOS,2.98,,False
170,305731769135,,Advil Ibuprofen Pain & Fever Liqui-gels Minis,4.99,,True
171,048000007070,,CHCK SEA SRDN WHL WTR CAN IN BOX 3.75 OZ,0.99,,
172,015300430594,585a96e9e4b03e62d1ce0e8b,Rice-A-Roni Rice Pilaf,2.38,,True
173,009800300037,,Tic Tac Cool Watermelon Gum,36.99,,
174,754500990209,,Hy-Vee Sweet Smoked Thick Sliced Bacon,4.99,,
175,014113911979,,"Wonderful Roasted & Salted Pistachios, 24 oz",8.99,,
176,028800296737,,Hanover Mixed Vegetables,2.29,,True
177,071100007299,,Hidden Valley Original Ranch Fat Free Salad Dressing 24 Oz,1.99,,
178,036632037541,,Light & Fit Greek Blackberry Yogurt,0.56,,True
179,036632013095,,Light & Fit Vanilla Yogurt,0.56,,True
180,084114111722,5afda575e4b0c11cfecd49f9,Kettle Brand Potato Chips - Buffalo Bleu,1.67,,True
181,511111104537,5afda575e4b0c11cfecd49f9,KETTLE BRAND,3.69,,False
182,014113910026,,"Wonderful Roasted & Salted Pistachios, 16 oz",6.99,,
183,815473013279,,Borden 2% Reduced Fat Milk,3.78,,
184,028400643061,5887a372e4b02187f85cdad9,DORITOS TORTILLA CHIP NACHO CHEESE BAG 14.5 OZ,4.72,,
185,689544081937,,Fage 0% Peach Greek Yogurt,0.56,,True
186,037000979715,,Oral-B Glide Pro-Health Deep Clean Floss 40 M,3.99,,
187,085718300512,,BANZA SPAGH,2.88,,True
188,078742112138,,FRZ.ORGBLUE,2.74,,
189,633472322587,,CLEAR BLUE,7.98,,
190,029000019034,,PLANTERS Deluxe Whole Cashews - Lightly Salted 18.25oz,9.34,,
191,052100587967,,PPR GRNDR,1.87,,
192,078742348315,,GV LINER GRE,1.00,,
193,042222302005,,JN O TRKY GRND 7 PCT FAT 93 PCT LN LN KP RFRG TRY IN SLV 16 OZ,3.62,,
194,681131122764,,MS12L CFBRN,2.48,,
195,857484001159,,YUMMALLO RAINBOW MARSHMALLOW 6.5 OZ - 0857484001151,1.97,,
196,689544083405,,FAGE YOG,3.22,,True
197,887214041018,,AVOCADO,2.98,,
198,045255148947,,ORG BELL 2CT,3.46,,
199,681131091206,,ORG CARROTS,1.96,,
200,026542084018,,CHEESE PIMTO,4.08,,
201,068113135477,,ORG SALAD,2.96,,
202,041235000687,,MRS RNF MDM PCNT SHLF STBL SC JAR 16 FL OZ,2.96,,
203,037466017631,,LNDT EXC DRK 70 PCT CC BAR BOX 3.5 OZ,2.78,,
204,076828048432,,WET ONE FRE,1.47,,True
205,021000040247,,CREAM CHEESE,3.84,,True
206,021000612239,,CREAM CHEESE,1.96,,True
207,078000082401,,DR PEPPER,1.88,,True
208,013120014178,,ORE-IDA Extra Crispy Fast Food Fries - 26oz,2.58,,
209,075706304783,,PAL RC CHE,5.00,,
210,036000485967,,COTTONELLE ULTRA COMFORT CARE MEGA ROLL 2 PLY 284 COTTON TOILET TISSUE 12 CT,12.48,,
211,000980000069,,TIC TAC WNTR DXTR SGR PC BRTH SWTN CNST BP 6PK 0.5 OZ,1.48,,
212,078742052328,,GV ALM UNORG,2.36,,
213,041483022226,,KMPS SLC FRM CWS NOT TRTD WTH RBST PSTR HMGN DRY RFRG MLK JUG 64 FL OZ,2.48,,
214,078742333960,,ORG VEG BRTH,1.98,,
215,015800030621,,C & H 454 SRVG WHT CN GRNL SGR BAG 4 LB,2.63,,
216,007874242956,,GV WORCESTE,0.88,,
217,078742372198,,GV PWD 2LB,1.62,,
218,754500947500,,Hy-Vee Black Cherry Lowfat Yogurt,0.54,,
219,754501315209,,Hy-Vee Steam Quick Super Sweet White Corn,0.97,,
220,041500220208,,FRNC ONN FRD RNG CAN 6 OZ,3.99,,
221,754500024805,,Hy-Vee Jellied Cranberry Sauce,3.12,,
222,754500486009,,Hy-Vee Unbleached All Purpose Flour,2.49,,
223,038000924224,,Crispix Cereal,3.39,,True
224,611443010787,,Kitchen Basics Organic Free-Range Chicken Stock for Cooking,3.69,,True
225,046000721835,,"Old El Paso Mild Enchilada Sauce, 28 Oz",3.59,,
226,014100095071,5a8c35dde4b0ccf165fac9e6,PPRD FRM HRB ALL PRPS CB BLND MW STV TOP IN BRD STFN BAG 12 OZ,2.50,,
227,043000285213,5887a290e4b02187f85cdad7,KRAFT STOVE TOP Stuffing Mix For Chicken 6oz,4.38,,
228,030100001331,,KBLR ZST SLTD SLTN CRCK BAG IN BOX 16 OZ,3.29,,
229,041289895406,,AZTC STNG CRN TRTL 10 CT,3.87,,
230,021000024926,55a41b88e4b0d0a65b3692f0,Kraft Singles 2% Milk American Cheese Slices,4.99,,True
231,4759,,Butternut Squash,4.48,,
232,3332,,Baby Spinach,2.99,,
233,4608,,Regular Garlic,0.25,,
234,016000363779,5daf35a8a60b87376833e35d,Nature Valley Almond Butter Chocolate Layered Granola Bar- 5 Count,1.69,,
235,311111242129,,OLD EL PASO SAUCE,3.59,,False
236,754500363409,,Hy-Vee Santa Fe Style Tortilla Strips,1.99,,
237,884912006806,,Post Honey Bunches Honey Roasted Of Oats Cereal,4.98,,True
238,605806001307,,Green Giant Idaho Russet Potatoes,2.88,,
239,011110916600,,Simple Truth Organic Celery Hearts,2.49,,
240,082242012362,,BOTA BOX WINE 1PK 3L PL BAG,17.99,,
241,046000400280,,"Old El Paso Restaurant Grande Shells, 6 Count",2.99,,
242,073410955505,5fb6b6e1be37ce522e165cbb,"Arnold Organic 22 Grains and Seeds Bread, Non-GMO Organic Bread, 27 oz",4.99,,
243,046000288697,,"Old El Paso Taco Original Seasoning Mix, 1 Oz",1.00,,
244,511111502142,57ebc003e4b0ac389136a333,GREY POUPON,3.29,,False
245,4225,,Large Hass Avocados,5.00,,
246,075856000269,592486bee410d61fcea3d12f,KLONDIKE FROZEN ICE CREAM NOVELTY REESES PEANUT BUTTER 12 CT 24 OZ - 0075856000261,5.00,,
247,26623200000,,Cheese Cheddar & Colby - Signature Mild Cheese,1.59,,
248,305731769203,,Advil Liqui-Gels Minis,4.99,,True
249,22,,ITEM NOT FOUND,1,,
250,043000041994,,Good Seasons Balsamic Dressing - 0.7oz,10,,
251,043000068649,,GEVALIA 100% Arabica Signature Blend K Mild Roast Coffee - K -Cups Pods - 36ct,9.99,,
252,021000051038,,,4.66,,True
253,043000063897,,"Kool-Aid Watermelon Gelatin Dessert Mix, 3 Oz Box",1,,
254,029000016705,,"PLANTERS Mixed Nuts, 15oz Can",9.99,,
255,044700096321,,OSCAR MAYER Naturals Slow Roasted Roast Beef 7 oz,5,,
256,044700070840,,OSCAR MAYER LUNCHABLES LUNCHABLES Chicken Sliders 3.00-oz,1,,
257,070085038403,,,1,,True
258,044700065617,,"OSCAR MAYER LUNCHABLES with Smoothie Deep Dish Pizza with Pepperoni Lunch Combinations, 4.0 oz",1,,
259,043000971635,,CRYSTAL LIGHT Peach Ice Tea Mix 98% Caffeine-Free 20 Serving TB Envelope In Box Powder 0.7 OZ 004300097163,1,,
260,686924113172,,,5,,True
261,043000075340,,JELL-O Simply Good Raspberry Lemonade Gelatin Dessert Mix - 3oz,1,,
262,021000054862,,"KRAFT Dressing Zesty Lime Vinaigrette, 16.0 FL OZ",10,,
263,021000679201,,KRAFT Barbecue Original 76 OZ 002100067920,9.99,,
264,087684002872,,"CAPRI SUN Roarin' Waters Fruit Punch Beverage, 10 count, 60 Fl Oz",1,,
265,071871542067,,"ZAMA OEM RB-158 Carb C1Q-S140,A Repair Kit",4.66,,
266,025800000524,,SMART MADE Black Beans & Cheese over Cilantro-Lime Rice,4.66,,
267,013000010917,,"MOMOFUKU SsEm Sauce Squeezable Bottle, Smoky, 12 Ounce",1,,
268,013000000635,,HEINZ Grill Pack 20z Ketchup 17.5z Mustard 19z KC Barbecue / 4,9.99,,
269,029000021273,,"PLANTERS Peanut, Cashew & Almond Blend, 5.75 oz",1,,
270,071040063188,,,9.99,,True
271,021000054961,,,5,,True
272,021000007363,,,9.99,,True
273,019582000117,,Bull's Eye Brewer's Best Barbecue Sauce with Guinness 18.00-oz,1,,
274,021000604906,,,1,,True
275,021000644551,,"KRAFT Salad Dressing Thousand Island, 8 fl oz",9.99,,
276,043000204443,,JELL-O PUDDING-Instant DEVIL'S FOOD 3.8 OZ BOX,9.99,,
277,021000029778,,,9.99,,True
278,044700072813,,"OSCAR MAYER Deli Fresh Maple Honey 97% Fat Free Ham, 8 oz",4.66,,
279,044700087145,,OSCAR MAYER 10 OZ ROAST BEEF,9.99,,
280,044700087329,,OSCAR MAYER - Spicy Monterey Jack Beef Franks 12.00-oz,9.99,,
281,016000151024,,Drumstick Vanilla Rte Cereal - 17.5Oz,10.00,,
282,077567304124,,MAGNUM FROZEN ICE CREAM NOVELTY VNL BN S SLT CRM SWR 9 CT 30.42 OZ,2.99,,
283,044700064238,,OSCAR MAYER Smoked Turkey Breast Club Pack,9.99,,
284,013120000843,,ORE-IDA Hash Browns 27.00-oz,1,,
285,021000006106,,BREAKSTONE'S Cucumber Onion DRY Tub 8 OZ,9.99,,
286,511111802358,57d9580ee4b0ac389136a2b6,CRACKER BARREL,28.14,,False
287,012000809965,,MTN DEW REVOLUTION SODA WILDBERRY FRUIT FLVR CANS IN BOX 12 CT 144 OZ,8.99,,
288,511111101451,,QUAKER,3.99,,
289,005111116022,,TTER BLUE KRAZY KRITTER BLUE 1,1.49,,
290,511111602118,,JELL-O,1.99,,
291,311111536044,,LUCKY CHARMS UNICORN CEREAL FAMILY SIZE,6.58,,
