,barcode,brandId,description,itemPrice,deleted,competitiveProduct
292,074682200294,,R W KND FML BT VGTB JC BTL RFRG AFTR OPNN 32 FL OZ,7.89,,
293,011594404013,,HWN ONN RNG SWT M GLDN CRSP BAG 4 OZ,1.49,,
294,013000006187,,HEINZ SWEET SWEET RELISH 12.7 OZ - 0013000006184,9.99,,
295,021000065547,,,9.99,,True
296,311111806949,592486bee410d61fcea3d130,KNORR SIDES,16.10,,False
297,012000810022,5332f5fbe4b03c9a25efd0b9,CAFFEINE FREE REGULAR PEPSI SODA COLA CAN IN BOX 12 CT 144 OZ,3.93,,
298,815473010360,,Borden 1% Chocolate Milk,4.66,,
299,013000798952,,HEINZ Homestyle Gravy Roasted Turkey Pack of 3,1,,
300,044700071748,,OSCAR MAYER Selects Slow Roast Turkey 16OZ Tray,1,,
301,043000032275,,TANG Orange Drink Mix 20 oz,5,,
302,044700024119,,OSCAR MAYER Lunchable Extra Cheesy Pizza 4.2 oz,1,,
303,028400081382,,,10,,True
304,021000046904,,KRAFT HEINZ TACO BELL REGULAR EXTRA HOT TACO SAUCE 7.5 OZ - 0021000046901,9.99,,
305,053000069867,,BORDEN REFRIGERATED REGULAR MONTEREY JACK CHEESE SLICED REGULAR FAT 6 OZ - 0053000069861,4.17,,
306,012000004919,5332f5fbe4b03c9a25efd0b9,1893 SODA ORIGINAL COLA CAN IN BOX 12 CT 144 OZ,3.93,,
307,815473012357,,Borden Half & Half,8.14,,
308,036000119749,5bd2013f965c7d66d92731ec,KLEENEX POCKET RCH IN WRP FACIAL TISSUE 2 PLY 8PK 15 CT,5.64,,
309,048001154032,592486bee410d61fcea3d130,Knorr Homestyle Stock Chicken Concentrated Broth Chicken,4.77,,
310,041000022906,592486bee410d61fcea3d130,KNORR LIPTON ITALIAN SIDES CREAMY GARLIC PASTA SIDE DISH PLASTIC BAG 4.9 OZ - 0041000022903,4.80,,
311,016300165912,,FLRD NTR APL PRMM 100 PCT PR CTD CRDB RFRG NT FR CNCN 59 FL OZ,6.92,,
312,028400641326,5887a372e4b02187f85cdad9,DORITOS TORTILLA CHIP COOL RANCH BAG 7.625 OZ,3.79,,
313,028400003988,5887a372e4b02187f85cdad9,DORITOS TORTILLA CHIP RANCHERITOS BAG 2.75 OZ,4.56,,
314,029000074361,,PLANTERS Salted Cashews - 3oz,9.99,,
315,043000061732,,GEVALIA Brazilian Estates Regular Ground Coffee 8 OZ Bag,4.66,,
316,021000068036,,,1,,True
317,686924291290,,ITEM NOT FOUND,9.99,,
318,025800000159,,SMART MADE Thai-Style Chicken & Vegetables 10 oz. Box,1,,
319,021000633609,,,1,,True
320,030000562383,585b0b23e4b03e62d1ce0e99,Quaker Life Cinnamon Cereal Giant Size,5.19,,True
321,737628011506,,Thai Kitchen Unsweetened Coconut Milk,3.29,,
322,021000615315,55a41b88e4b0d0a65b3692f0,Kraft Cheese Grated - Parmesan,3.99,,True
323,015000056087,,GERBER GRADUATES LIL ENTREES MEALS MEALS NON - ORGANIC SRSTINTRKMTSCWGYLWBN TRAY 1 PK - 00011500005608,3.62,,
324,4068,,Green Onions,0.55,,
325,021000039340,57ebc2e7e4b0ac389136a34b,Taco Bell Home Originals Components,3.46,,True
326,94094,,Organic Bunch Carrots,1.96,,
327,896859000489,,Organicville Salad Dressing - French,2.96,,
328,036000478044,5bd200a6965c7d66d92731ea,COTTONELLE CLEAN CARE MEGA ROLL 1 PLY 340 COTTON TOILET TISSUE 12 CT,12.48,,
329,016000496361,,Banana Nut Cheerios Rte Cereal - Family Size,1.23,,
330,013800190215,,Stouffer's Family Size Stuffed Peppers,2.99,,True
331,048001213517,592486bee410d61fcea3d12c,BST FDS SPRD MYNS JAR 30 FL OZ,4.28,,
332,025500202310,,Folgers Gourmet Selections Coffee - Classic Roast,9.99,,True
333,311111452382,,MARIE CALLENDER'S POT PIE MULTI SERVE,5.99,,False
334,021834033316,,HMPL CRD PPR SLCD PRK BCN WRP 20 OZ,27.92,,
335,23572500000,,Signature Roast Beef,17.97,,
336,012000106057,5332f5fbe4b03c9a25efd0b9,DIET PEPSI SODA COLA CAN IN FRIDGE PCK BX 18 CT 216 OZ,8.99,,
337,012000000171,5332f5fbe4b03c9a25efd0b9,REGULAR PEPSI SODA COLA CAN 24 CT 288 OZ,8.99,,
338,012000010736,5332f5fbe4b03c9a25efd0bb,MTN DEW CITRUS CHERRY SODA CITRUS CHERRY CAN 1 CT 12 OZ,17.98,,
339,043000050910,57ebc017e4b0ac389136a336,Jell-O Sugar Free Gelatin Strawberry 25 oz 8 pk,3.98,,
340,071100211474,,Hidden Valley Original Ranch Salad Dressing 48 Oz,6.58,,
341,4540,,Loose Beets,7.89,,
342,4090,,Regular Spinach,0.76,,
343,612669316714,,Laura's Lean Beef Beef - Ground,6.05,,
344,041129411506,57ebbed8e4b0ac389136a32e,"CLASSICO Pasta Sauce Alfredo Asiago Romano Light, 15 Oz",3.49,,
345,311111603920,57ebbed8e4b0ac389136a32e,CLASSICO SAUCE,3.49,,False
346,044000043254,,RITZ Salsa Verde Corn Toasted Chips,3.99,,True
347,048001154049,592486bee410d61fcea3d130,Knorr Homestyle Stock Beef Beef Concentrated Broth,3.38,,
348,071100006681,,Hidden Valley Original Ranch Salad Dressing 36 Oz,5.49,,
349,021000065127,55a41b88e4b0d0a65b3692f0,"KRAFT Indulgence Salad Dressing Blue Cheese, 15 Fl Oz",5.29,,
350,044700098752,57ebc15fe4b0ac389136a342,LUNCHABLES Lunch Combinations Around The World Mexican Style Chicken Tacos 4.2 OZ,7.99,,
351,4061,,Iceberg Lettuce,1.49,,
352,311111705006,58863e1ee4b02187f85cdace,OSCAR MAYER LUNCH MEAT,5.99,,False
353,044700061909,58863e1ee4b02187f85cdace,"OSCAR MAYER Selects Rotisserie Seasoned Chicken Breast, 9 oz",5.99,,
354,511111901587,585a96e9e4b03e62d1ce0e8b,RICE-A-RONI,1.29,,False
355,021000026999,55a41b88e4b0d0a65b3692f0,"KRAFT Sandwich Spread, 15.0 FL OZ",0.89,,
356,4066,,Green Beans,1.16,,
357,021000701445,55a41b88e4b0d0a65b3692f0,KRAFT Roasted Red Pepper Italian Salad Dressing - 16oz,1.99,,
358,4562,,Loose Carrots,10.99,,
359,016000877009,,General Mills Breakfast Packs Rte Cereal - 9.14Oz,2.49,,
360,052100625348,,MCRM GRL MTS ALL PRPS TMT GRLC BSL PWDR MRND ENVL 0.87 OZ,2.49,,
361,025500005188,,Folgers Classic Roast Medium Roast Ground Coffee,9.99,,True
362,029000017986,588b9f8fe4b02187f85cdada,PLANTERS Deluxe Mixed Nuts With Sea Salt - 34oz,14.99,,
363,023400022212,,Renuzit Air Freshener - Pearl Scents - Sparkling Rain,2.49,,True
364,041695151721,,Braswell's Raspberry Vinaigrette,5.49,,True
365,071100200058,,Hidden Valley Original Ranch Salad Dressing & Seasoning Mix 1 Oz,7.49,,
366,072310001244,,Bigelow Tea Bags - Earl Grey,4.69,,True
367,044000034030,,NBSC OR DBL STF SNDW CRM FLD CHCL CK BOX 5.6 OZ,3.99,,
368,044000051051,,NBSC RTZ CHP SNCK SR CRM ONN TSTD OVN BKD SQR 40 PCT LS FAT BAG 8.1 OZ,3.99,,
369,072220001808,,Franz Family Bakeries Hamburger Buns,2.99,,True
370,016000854307,,Trix & Cocoa Puffs & Lucky Charms Rte Cereal - 38.5Oz,10.99,,
371,311111434807,,CHEX CEREAL MEDIUM SIZE,1.49,,False
372,016000126855,,Cinnamon Toast Crunch Rte Cereal - Giant Size,2.49,,
373,020709100139,,TRL SR BRT CRW CRWL GM CNDY BAG 30.4 OZ,6.98,,
374,021000037490,5887a28ae4b02187f85cdad6,KRAFT Velveeta Cheesy Skillets Creamy Beef Stroganoff,5.99,,True
375,022000014252,,ORBIT BUBBLE MINT DENTAL GUM SUGAR FREE PELLET RP 180 CT - 0022000014252,6.45,,
376,029000073692,588b9f8fe4b02187f85cdada,PLANTERS Mixed Nuts 56 oz. Canister,14.99,,
377,511111902690,55a41b88e4b0d0a65b3692f0,KRAFT,6.49,,False
378,311111149350,,WISHBONE SALAD DRESSING,3.29,,False
379,071100309744,,Hidden Valley Original Ranch Seasoning & Salad Dressing Mix 8 Oz,7.49,,
380,311111445421,,HIDDEN VALLEY SALAD DRESSING 21OZ AND LARGER,5.49,,False
381,041800200139,,WLCH BLCK CHRY CNCR GRP JC BLND BTL 64 FL OZ,2.98,,
382,070158008678,,Krazy Glue Sticks,9.17,,
383,511111704140,5a8c344ae4b0ccf165fac9e5,PREGO,2.19,,False
384,861745000010,,Vital Farms Alfresco Pasture Raised Grade A Large Eggs,5.99,,
385,4662,,Shallots Onions,0.48,,
386,511111104186,5a8c363ce4b0ccf165fac9e7,PACIFIC FOODS,4.99,,False
387,041235000328,,MRS RNF NCH CHS BLND SHLF STBL SC JAR 16 OZ,3.99,,
388,4614,,Collard Greens,2.79,,
389,013120002588,57d96112e4b0ac389136a2b8,ORE-IDA Golden Fries - 32oz,2.49,,
390,070492140003,,FRTN RFRG FLT YKSB BAG 7 OZ,2.49,,
391,051700788262,5f21c852be37ce7958c59529,FINISH JET DRY AUTOMATIC DSHW RNS AGNT 16 FL OZ 005170078826,9.79,,
392,041483030917,,Kemps Chocolate Chip Ice Cream Sandwiches,2.99,,True
393,311111208538,5aa1b53ae4b086c8aad5e097,JUST CRACK AN EGG SCRAMBLE KIT,2.49,,False
394,020169222341,,CRYS FRM SMP PTT DCD KP RFRG SPCL BAG 20 OZ,1.73,,
395,074904100104,,CHQT BNN SNGL FRT 1 CT,1.64,,
396,011110876942,,Simple Truth Organic Fat Free Vegetable Broth,1.67,,
397,011110857132,,Simple Truth Organic Green Beans,1.99,,
398,052100037509,,MCRM GNGR GRND SSNN JAR 0.7 OZ,5.39,,
399,029000016156,588b9f8fe4b02187f85cdada,PLANTERS Deluxe Salted Whole Cashews - 18.25oz,14.99,,
400,044600020020,,Fresh Step Scented Non,5.99,,
401,041321006357,,WISHBONE RUSSIAN SALAD DRESSING PLASTIC BOTTLE 15 OZ - 0041321006351,3.29,,
402,041695951130,,BRSW FIG SHLF STBL PRSR JAR 12 OZ,5.49,,
403,037466016023,,LNDT MLK BNY TRY EAST 1.7 OZ,3.37,,
404,016000123151,,Honey Nut Cheerios Rte Cereal - Family Size,3.49,,
405,4023,,Flame Red Seedless Grapes,5.74,,
406,3435,,Pinova Apples,3.99,,
407,011110973009,,Private Selection Angus Beef Chuck Patties,12.99,,
408,011110847454,,"Private Selection Biscuits, Petit Beurre, Dark Chocolate",2.99,,
409,034695123621,,JHN SLS FDS CHCK BRST STRP FJT RIB MT FLY CKD KP FRZN ENTR BAG 16 OZ,6.99,,
410,051611165893,,CLMN HCKR SMKD SLCD PRK BCN WRP 12 OZ,11.98,,
411,071279275024,,FRSH EXP BBY SPNC SWT RED BBY BTR LTC TNDR RBY RDS PRCT SLD MIX MLDD TRY 10 OZ,8.58,,
412,076840400218,,BEN & JERRYS FROZEN STRAWBERRY CHS CAKE ICE CREAM REGULAR 16 OZ - 0076840400212,5.59,,
413,071430000724,,DL CTRS DRSN CBG CRT GRN ONN KL RMN SWT ONN SNFL CRNC FRSH SLD KIT BAG 26.4 OZ,8.98,,
414,016000124790,,Honey Nut Cheerios Rte Cereal - Medium Size,2.49,,
415,3283,,Large Honeycrisp Apples,3.99,,
416,511111518044,5fd28f0cbe37ce6d53dfc692,SARGENTO,3.49,,False
417,94023,,Organic Flame Red Seedless Grapes,2.49,,
418,4072,,Russet Potato,2.99,,
419,013800100320,,Stouffer's Classics Green Pepper Steak,1.99,,True
420,4563,,Carrot Sticks Carrots,10.99,,
421,070446400009,,BRS HD SHRD RFRG SRKR BAG 16 OZ,0.79,,
422,029000021723,588b9f8fe4b02187f85cdada,"PLANTERS Unsalted Premium Cashews, 33 Ounce",14.99,,
423,041196277470,,PRGR PNK LMN PPR ALL PRPS BRD CRMB BOX 8 OZ,2.99,,
424,076001350437,,Essential Everyday Candle,2.58,,
425,4053,,Large Lemons,0.99,,
426,013800104083,,Stouffer's Side Dish Cheddar Bacon Potatoes,3.99,,True
427,071100007077,,Hidden Valley Original Ranch Fat Free Salad Dressing 16 Oz,2.99,,
428,074714086827,,MRS CBS CHS CRSP PRMS 100 PCT BKD RND GRT ON SP GRT ON PST GRT ON SLD 1.98 OZ,2.99,,
429,021000744152,5887a1c8e4b02187f85cdad4,Philadelphia Original Cream Cheese Spread 2-16 OZ,2.99,,True
430,085000015889,,GALLO FAMILY VINEYARDS TWIN VALLEY WINE 1PK 1.5L GL BTL,8.99,,
431,046704096802,,T.G.I. FRIDAY'S(r) Loaded Cheddar & Bacon Potato Skins 32 OZ Box,1,,
432,043000956113,,Kool-Aid Aguas Frescas Mandarina-TANGerine Unsweetened Drink Mix 0.16 oz. Packet,1,,
433,044700075302,,OSCAR MAYER P3 Slow Roasted Chicken Breast Mild Cheddar Lunch Tray 5Pack 2 OZ 004470007530,4.66,,
434,077661120460,,LTHS ITLN HRB FLK FRZ DRD SSNN JAR 0.49 OZ,3.99,,
435,034000056644,,CDBR MLK CHCL SLD EGG MN BAG EAST 31 OZ,10.48,,
436,011110916068,,Fresh Selections House Salad With Bacon Kit,11.23,,
437,021000069293,,PHILADELPHIA Cream Cheese Dips Southwest Style Black Bean & Corn 10 OZ,10,,
438,021000068883,,"Food Network Kitchen Inspirations French Style Dijon Balsamic Vinaigrette, 12 oz",9.99,,
439,025155000149,,DEVOUR Bacon Topped Meatloaf with Spicy Ketchup 10.00-oz,9.99,,
440,043000062753,,"JELL-O Dessert Mold Kit, University of Georgia, 12 Ounce",5,,
441,759283001890,,Boca Essentials Breakfast Scramble Burgers,1,,
442,043000000342,,"GENERAL FOODS INTERNATIONAL Vanilla Creme, No Caffeine, 9-Ounce Units (Pack of 6)",1,,
443,016000437760,,Betty Crocker Hershey's - Milk Chocolate Frosting,1.98,,
444,021000045129,5887a28ae4b02187f85cdad6,Velveeta Shells and Cheese,5.99,,
445,038000052200,,Kellogg's Fun Pak - 8 Cereals,2.50,,
446,038000138577,,Pringles Cheddar Cheese Potato Crisps,2.50,,
447,041695103799,,Braswell's Vidalia Onion & Summer Tomato,5.49,,
448,053800123004,,Lindsay Recloseables - California Ripe Olives - Sliced,5.16,,
449,23671200000,,Cheese Cheddar & Colby - Signature Jack Cheese,7.99,,
450,764025930000,,Hewlett Packard Multipurpose Paper - Brightness,0.60,,
451,889714000038,,Crest 3D White Professional Effects Whitestrips,12.62,,
452,076840100477,,Ben & Jerry's Chocolate Fudge Brownie Ice Cream,4.99,,
453,070800179329,,Smithfield Hometown Original Pork Breakfast Sausage,2.74,,
454,042222336413,,Jennie-O Oven Ready Skinless Boneless Turkey Breast,10.99,,
455,012000171864,5332f5fbe4b03c9a25efd0b9,Diet Pepsi Classic Taste Soda - 12 Pack Cans,8.99,,
456,049000012781,,Coca-Cola Coke - Classic,16.00,,
457,049000010633,,Diet Coke Diet Coke,16.00,,
458,051000228895,5a8c3226e4b07f0a2dac8942,"V8 100% Vegetable Juice, 12 oz. , 6 pack",13.96,,
459,078000010367,,7UP Lemon Lime Soda - 12 Pack Cans,8.99,,
460,044000039905,,Nabisco Soccer Ritz Crackers,3.99,,
461,071142004089,,"Arrowhead Mountain Spring Water, 16.9 Fl Oz, 32 Count",3.99,,
462,050000274444,,Nestle Chocolate Chip Cookie Dough,3.50,,
463,071840205009,,Marie's Coleslaw Dressing,14.00,,
464,077661137833,,Litehouse Sweet Onion With Dijon Dressing & Marinade,3.99,,
465,767707013299,,Kerrygold Mild Shredded Cheddar Cheese,12.00,,
466,078300054764,,Playtex Liners - Pre Sterilized Disposable,0.56,,
467,4131,,Large Fuji Apples,7.30,,
468,034000040476,,Cadbury Dairy Milk Caramello Bar,4.66,,
469,021000054473,,,9.99,,True
470,043000079232,,COOL WHIP Whipped Topping 4-Pack Original 4-8 OZ Cups,1,,
471,029000020351,,P3 Peanuts Ham Jerky Sunflower Kernels Portable Protein Pack - 5.4oz - 3ct,9.99,,
472,043000200520,,JELL-O GELATIN RASPBERRY 6 OZ BOX,9.99,,
473,044700009000,,OSCAR MAYER Cold Cuts Beef Bologna 2-16OZ Packs,4.66,,
474,041129412152,,CLASSICO All Natural Peeled Ground Tomatoes 28 OZ Can,5,,
475,013000798303,,"HEINZ Home Style Mushroom Gravy, 12 oz",1,,
476,021000043552,,,5,,True
477,087684009000,,CAPRI SUN Organic Strawberry Lemonade - 10pk/6 fl oz,1,,
478,029000019201,,PLANTERS Limited Edition Tailgate Chipotle Nut Mix 15.25 OZ Canister,9.99,,
479,792851356565,,ITEM NOT FOUND,10,,
480,044700073933,,LUNCHABLES Breakfast Cinnamon Roll Dippers Lunch Combination 3.15 OZ Tray,9.99,,
481,043000003596,,Crystal Light Pure Lemonade 2.17-oz,1,,
482,021000054190,,,1,,True
483,021131506940,,MARIE CALLENDERS FROZEN CREAMY MUSHROOM CHICKEN POT PIE MICROWAVEABLE 15 OZ - 0021131506941,1.76,,
484,780993107565,,Famous Dave's Award Winning Rib Rub,3.49,,
485,074714086643,,MRS CBS SW TRTL STRP DRY SLD TPNG BAG 4 OZ,2.99,,
486,4135,,Large Gala Apples,0.73,,
487,857183005120,,"Banza Spaghetti, Chickpea Pasta, High Fiber & High Protein Pasta, 8 Oz",2.88,,
488,041449001401,,KRST PLN PWDR SFD CHCK PRK RDY TO USE CTNG MIX BOX 20 OZ,2.79,,
489,026800001924,,AMRC BTY FLT ANGL HR 24 OZ,0.89,,
490,21075100000,,Deli Chicken Breast,1.49,,
491,041129634608,,CLASSICO Riserva Marinara Pasta Sauce Jar 3Pack 24 OZ 004112963460,5,,
492,070221006693,,TANG Drink Mix 6 QT GV Pineapple Concentrate Powder Sugar Cold Water 18 OZ 007022100669,4.66,,
493,021000642182,,Mayonnaise Extra Heavy 4 Case 1 Gallon,1,,
494,041129000052,,"CLASSICO Signature Recipes Traditional Basil Pesto Sauce & Spread, 8.1 Oz",1,,
495,021000049318,,"KRAFT Classic Ranch Dressing, 24 fl oz",1,,
496,511111001768,585a963ce4b03e62d1ce0e78,CHEETOS,22.00,,False
497,041244000098,,MRTN GLD MDL APL GLS FRSH SQZD 10 FL OZ,9.96,,
498,037000889427,,Crest 3D White Brilliance Vibrant Peppermint Toothpaste,12.62,,
499,4078,,Sweet Corn Corn,55.84,,
500,511111004127,5a8c3226e4b07f0a2dac8942,V8,10.00,,False
501,511111904175,5a8c35dde4b0ccf165fac9e6,PEPPERIDGE FARM,3.00,,False
502,048001412538,592486bee410d61fcea3d130,"Knorr Beef Flavor Bouillon, 35.3 oz",6.76,,
503,212245400006,,Private Selection Angus Beef Choice Tri Tip Steak (1 Steak),16.62,,
504,011110603746,,Kroger Frozen Ground Beef Burgers 80% Lean 20% Fat,9.08,,
505,011110974525,,Heritage Farms Smoked Sausage With Chicken Pork & Beef,17.50,,
506,041260362873,,Kroger Sour Neon Worms,1.00,,
507,021000658831,55a41b88e4b0d0a65b3692f0,Kraft Macaroni & Cheese Dinner - The Cheesiest Original,1.00,,True
508,4067,,Zucchini Squash,3.39,,
509,044300107700,,RSRT BLCK BN CAN 15 OZ,1.25,,
510,011110073747,,Simple Truth Top Round Roast Beef,9.92,,
511,20750000000,,ShopRite Top Round Roast Beef,10.91,,
512,077298000043,,NANCY'S Jalapeno Petite Stuffed Bagels 16.00-oz,10,,
513,021000068852,,"Food Network Kitchen Inspirations Greek Feta Herb Vinaigrette, 12 oz",1,,
514,021000055005,,,1,,True
515,044700031711,,"OSCAR MAYER 97% Fat Free Ham & Turkey Sub Kit, 28 oz",1,,
516,029000015630,,PLANTERS Tropical Fruit & Nut Trail Mix 19 OZ,5,,
517,5000111047524,,ITEM NOT FOUND,9.99,,
518,043000081099,,BAKER'S Pure Cocoa Powder 8 OZ Tin,4.66,,
519,043000005217,,"Black and White Easter Bunny 16 1/2"" tall by no3 no4",9.99,,
520,049900000345,,,9.99,,True
521,044700087558,,"OSCAR MAYER Natural Applewood Smoked Ham, 14 oz",1,,
522,021000037186,,,9.99,,True
523,029000012578,,"PLANTERS Peanuts Honey Roasted, 6-Ounce (Pack of 12)",9.99,,
524,025400076363,,,1,,True
525,043000204405,,"Jell-O Instant Pudding & Pie Filling Lemon, 3.4 Oz",9.99,,
526,2700710686201,,KNORR PASTA SIDES BUTTER PASTA SIDE DISH POUCH 4.5 OZ,10.00,,
527,016000147096,,"Betty Crocker Fruit Gushers - Strawberry Splash & Tropical, 16 Oz",10.00,,
528,036000320893,,HUGGIES SIMPLY CLEAN PREMOISTENED WIPE FRAGRANCE FREE BAG 216 COUNT,21.00,,
529,036000495737,5c7d9cb395144c337a3cbfbb,HUGGIES SPECIAL DELIVERY NEWBORN DISPOSABLE DIAPER BOX 66 CT,19.99,,
530,036000432190,,HUGGIES SIMPLY CLEAN PREMOISTENED FC HND AND BTM WP FRAGRANCE FREE NONFLUSHABLE BAG 72 COUNT,9.99,,
531,070470400235,,"Yoplait Whips! Non-Fat Greek Yogurt - Tropical Mousse, 4 Oz",10.00,,
532,511111003960,5332f5fbe4b03c9a25efd0bb,MOUNTAIN DEW,35.96,,False
533,043000081501,57ebc017e4b0ac389136a336,JELL-O Play Ocean Cutters Kit Strawberry 2 - 3 OZ Boxes,7.96,,
534,048121229030,,Thomas' Breakfast Bread - Swirl Cinnamon Raisin,4.99,,
535,041449402529,,Krusteaz Chocolate Chunk Supreme Muffin Mix,2.50,,True
536,021000052363,55a41b88e4b0d0a65b3692f0,KRAFT Original Barbecue Sauce 40 OZ Bottle,1.00,,
537,043000006283,,Crystal Light Liquid Mango Passionfruit Drink Mix - 1.62 fl oz,5,,
538,021000018710,,,1,,True
539,036000162905,5c7d9cb395144c337a3cbfbb,HUGGIES NATURAL CARE PREMOISTENED BABY WIPE FRAGRANCE FREE BAG 232 COUNT,19.99,,
540,016000898264,,"Honey Nut Cheerios Rte Cereal - Family Size, 2 Pack",10.00,,
541,007940018942,,SUAVE KIDS PURELY AWESOME TEARLESS SHAMPOO AND CONDITIONER IN ONE LIQUID PLASTIC BOTTLE RP 12 OZ,10.00,,
542,021000049325,,KRAFT Catalina Dressing 24.00-fl oz,1,,
543,025800020300,,SMART ONES Stuffed Breakfast Sandwich 8.00-oz,5,,
544,021000024582,,,10,,True
545,600699001564,,KRAFT Jet-Puffed - Fun Mallows Miniature Marshmallows 10.00-oz,1,,
546,016000128620,,Cookie Crisp Rte Cereal - Family Size,10.00,,
547,070470149394,,"Yoplait Fiber One Non-Fat Yogurt - Peach & Vanilla, 6 Pack",10.00,,
548,043000080443,,,5,,True
549,013000009263,,,9.99,,True
550,021000045006,,,1,,True
551,029000019416,,PLANTERS Nut-rition Blueberry Nut Protein Mix 9 OZ,4.66,,
552,087684009338,,CAPRI SUN Fruit Refreshers Orange Pineapple TANGo - 10pk/6 fl oz Pouch,9.99,,
553,021000054602,,,10,,True
554,043000058404,,GEVALIA KAFFE Caramel Macchiato Espresso Coffee K-Cup pods 9ct,4.66,,
555,087684004449,,"CAPRI SUN Juice Drink, Variety Pack - 40 pack, 6 fl oz pouches",4.66,,
556,036000494129,5bd201f090fa074576779a1a,VIVA PAPER TOWEL 1 PACK 2 COUNT 83 SHEET,3.92,,
557,021000024674,,,5,,True
558,013000799102,,"HEINZ Home Style Gravy Roasted Turkey, 12.0 OZ",9.99,,
559,043000048528,,,9.99,,True
560,021000030453,,,1,,True
561,071159001750,,CORN NUTS Chile Picante con Limon Crunchy Corn Kernels 1.7 OZ Bag,4.66,,
562,042800108005,,"Totino's Triple Meat Party Pizza, 10.5 Oz",10.00,,
563,B076FJ92M4,,"mueller austria hypergrind precision electric spice/coffee grinder millwith large grinding capacity and hd motor also for spices, herbs, nuts,grains, white",22.97,,
564,B07BRRLSVC,,thindust summer face mask - sun protection neck gaiter for outdooractivities,11.99,,
565,B08BGBHHP6,,spigen thin fit designed for iphone 12 mini case (2020) - black,12.59,,
566,B08DQDHR2S,,spigen tempered glass screen protector [glas.tr ez fit] designed foriphone 12 mini - sensor protection / 2 pack,12.99,,
567,665290001184,,"Berry Strawberry Conventional, 16 Ounce",3.99,,
